Link Name,Template [listid],Opacity,Delay,User Control,Source,Campaign,Display Count,Signup Count,Conversion Rate,Linkid,URL,Preview Link,Active
Initial Resolute - Salsa,GeneralGetTastySmall,50,1,N,Google,InitResolute,13,0,0.00%,0741A84B-06CE-AF0B-C3F9-B9E2F5A0A583,http://www.recipe4living.com/search?controller=recipes&searchterm=salsa,http://www.recipe4living.com/search?controller=recipes&searchterm=salsa&cid=0741A84B-06CE-AF0B-C3F9-B9E2F5A0A583,Y
Initial Resolute - Soup,GeneralGetTastySmall,50,1,N,Google,InitResolute,4,0,0.00%,542F7873-D57C-E805-DAC9-B5444CF9CCCB,http://www.recipe4living.com/search?controller=recipes&searchterm=soup,http://www.recipe4living.com/search?controller=recipes&searchterm=soup&cid=542F7873-D57C-E805-DAC9-B5444CF9CCCB,Y
Initial Resolute - quiche,GeneralGetTastySmall,50,1,N,Google,InitResolute,19,0,0.00%,D840EB2D-DE21-7848-9001-60CEAE4A0EC7,http://www.recipe4living.com/search?controller=recipes&searchterm=quiche,http://www.recipe4living.com/search?controller=recipes&searchterm=quiche&cid=D840EB2D-DE21-7848-9001-60CEAE4A0EC7,Y
Initial Resolute - Salad,GeneralGetTastySmall,50,1,N,Google,InitResolute,3,0,0.00%,346CD613-D107-8C0C-AE09-275CA6E4905A,http://www.recipe4living.com/search?controller=recipes&searchterm=salad,http://www.recipe4living.com/search?controller=recipes&searchterm=salad&cid=346CD613-D107-8C0C-AE09-275CA6E4905A,Y
Initial Resolute - Meatball,GeneralGetTastySmall,50,1,N,Google,InitResolute,32,0,0.00%,22765196-071A-A44F-E319-8406E49682BF,http://www.recipe4living.com/search?controller=recipes&searchterm=meatball,http://www.recipe4living.com/search?controller=recipes&searchterm=meatball&cid=22765196-071A-A44F-E319-8406E49682BF,Y
Initial Resolute - Chili,GeneralGetTastySmall,50,1,N,Google,InitResolute,3,0,0.00%,76CCD1F7-8E7D-B135-822C-8B3B77C18D3D,http://www.recipe4living.com/search?controller=recipes&searchterm=chili,http://www.recipe4living.com/search?controller=recipes&searchterm=chili&cid=76CCD1F7-8E7D-B135-822C-8B3B77C18D3D,Y
Initial Resolute - Cake,GeneralGetTastySmall,50,1,N,Google,InitResolute,9,0,0.00%,8027D8C0-39A5-8A6E-BE9A-D57A6213662E,http://www.recipe4living.com/search?controller=recipes&searchterm=cake,http://www.recipe4living.com/search?controller=recipes&searchterm=cake&cid=8027D8C0-39A5-8A6E-BE9A-D57A6213662E,Y
Initial Resolute - Meatloaf,GeneralGetTastySmall,50,1,N,Google,InitResolute,28,0,0.00%,E173F4D1-64AB-8610-7030-1D3D41EB1D36,http://www.recipe4living.com/search?controller=recipes&searchterm=Meatloaf,http://www.recipe4living.com/search?controller=recipes&searchterm=Meatloaf&cid=E173F4D1-64AB-8610-7030-1D3D41EB1D36,Y
Initial Resolute - Lasagna,GeneralGetTastySmall,50,1,N,Google,InitResolute,1,0,0.00%,858BF371-BC74-6242-775B-0DA54E642576,http://www.recipe4living.com/search?controller=recipes&searchterm=lasagna,http://www.recipe4living.com/search?controller=recipes&searchterm=lasagna&cid=858BF371-BC74-6242-775B-0DA54E642576,Y
Initial Resolute - Pie,GeneralGetTastySmall,50,1,N,Google,InitResolute,2,0,0.00%,D79E6517-DD66-FD2F-2762-F31FF2A744CA,http://www.recipe4living.com/search?controller=recipes&searchterm=pie,http://www.recipe4living.com/search?controller=recipes&searchterm=pie&cid=D79E6517-DD66-FD2F-2762-F31FF2A744CA,Y
Test Nutella,CopycatTopSecretMaleChef,50,1,N,Google,test,3,1,33.33%,211C3D3E-62F0-0EDE-0381-C093B61F58DA,http://www.recipe4living.com/recipes/nutella_banana_and_caramel_dessert_pizza.htm,http://www.recipe4living.com/recipes/nutella_banana_and_caramel_dessert_pizza.htm?cid=211C3D3E-62F0-0EDE-0381-C093B61F58DA,Y
Letttuce Wrap,GeneralGetTastySmall,50,1,N,Google,copycat,437,76,17.39%,1FAA0D7F-F861-14CE-F9A0-AF5C98F43209,http://www.recipe4living.com/recipes/p_f_chang_s_lettuce_wraps.htm,http://www.recipe4living.com/recipes/p_f_chang_s_lettuce_wraps.htm?cid=1FAA0D7F-F861-14CE-F9A0-AF5C98F43209,Y
