Starting:,1329659

Subscribe:,7836
3675 - ,1492,19.040 %
3612 - ,1319,16.833 %
3613 - ,985,12.570 %
3674 - ,659,8.410 %
3651 - ,449,5.730 %
3528 - R4L Google Crock Pot 1213,418,5.334 %
3522 - R4L Google Copycat 1213,224,2.859 %
3608 - ,223,2.846 %
3609 - ,190,2.425 %
3665 - ,163,2.080 %
3098 - R4L Signup DHTML,142,1.812 %
3623 - ,130,1.659 %
3437 - Marketing Contests,129,1.646 %
3516 - R4L Google Brands 1213,128,1.633 %
3642 - ,109,1.391 %
3652 - ,105,1.340 %
2767 - R4L Subscription Center,84,1.072 %
3155 - WIMFIRSTTIME,78,0.995 %
3622 - ,74,0.944 %
3589 - R4L Google Detault,69,0.881 %
3555 - Sweeps Advantage - R4L Giveaway - 1013,66,0.842 %
3644 - ,65,0.830 %
3611 - ,64,0.817 %
3543 - R4L Google Healthy 1213,63,0.804 %
3641 - ,62,0.791 %
3636 - ,62,0.791 %
3540 - R4L Google Branding 1213,51,0.651 %
3637 - ,46,0.587 %
3677 - ,39,0.498 %
3502 - SavvyFork Site Signups,37,0.472 %
3657 - ,29,0.370 %
3463 - Sitelinks,24,0.306 %
3669 - ,21,0.268 %
3650 - ,18,0.230 %
3676 - ,16,0.204 %
2752 - FF Subscription Center,14,0.179 %
3503 - SavvyFork Giveaway Page,12,0.153 %
3630 - ,11,0.140 %
3513 - Center Point Coreg - R4L Giveaway - October,10,0.128 %
3640 - ,10,0.128 %
3436 - FF New Site Signup,9,0.115 %
3625 - ,9,0.115 %
3682 - ,9,0.115 %
3164 - ,8,0.102 %
3495 - R4L Espresso Machine Giveaway,7,0.089 %
3078 - WIM Subscription Center,7,0.089 %
3631 - ,6,0.077 %
3507 - SavvyFork Subscription Center,5,0.064 %
2744 - FF Unsub Link,4,0.051 %
2678 - Coreg-Lifescript,3,0.038 %
3212 - WIM Site Registration,3,0.038 %
2658 - SC-R4L,2,0.026 %
2675 - ,2,0.026 %
3499 - Catalogs.com - 0913,2,0.026 %
3624 - ,2,0.026 %
2921 - Nibbles Admin Signup,2,0.026 %
2660 - SC-BC,1,0.013 %
2672 - ,1,0.013 %
2875 - FFL_DI_Arcamax CoReg,1,0.013 %
3634 - ,1,0.013 %
3158 - ,1,0.013 %
2651 - Silver Carrot Initial Import,1,0.013 %
3588 - FF Squeeze Default,1,0.013 %

Unsubscribe,11194
BounceOut,4481,40.030 %
R4LUnsubLink,3350,29.927 %
FeedBackLoop,2497,22.307 %
SubCenter,639,5.708 %
FFUnsubLink,170,1.519 %
SFUnsubLink,135,1.206 %
WIMUnsubLink,49,0.438 %
admin,1,0.009 %

Ending:,1326301

Net Change:,-3358
