,List Size (2013-03-31),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),79555,12,0.015%,90,0.113%,646,0.812%,1074,1.350%,0,0.000%,0,0.000%,0,0.000%,73,0.092%,1895,2.382%
Fit&Fab Living Special Offers (410),122713,9,0.007%,130,0.106%,921,0.751%,1514,1.234%,0,0.000%,0,0.000%,0,0.000%,118,0.096%,2692,2.194%
Daily Recipes (393),2071028,58,0.003%,3664,0.177%,32232,1.556%,0,0.000%,47125,2.275%,0,0.000%,0,0.000%,1916,0.093%,84995,4.104%
Recipe4Living Special Offers (396),2096838,70,0.003%,3673,0.175%,32422,1.546%,0,0.000%,55739,2.658%,0,0.000%,0,0.000%,1886,0.090%,93790,4.473%
Budget Cooking (395),134214,14,0.010%,149,0.111%,2186,1.629%,0,0.000%,2889,2.153%,0,0.000%,0,0.000%,311,0.232%,5549,4.134%
Quick & Easy Recipes (394),95371,8,0.008%,105,0.110%,1467,1.538%,0,0.000%,1677,1.758%,0,0.000%,0,0.000%,190,0.199%,3447,3.614%
Diet Insider (448),45366,4,0.009%,47,0.104%,389,0.857%,801,1.766%,0,0.000%,0,0.000%,0,0.000%,60,0.132%,1301,2.868%
Crockpot Creations (511),86025,7,0.008%,100,0.116%,1743,2.026%,0,0.000%,2365,2.749%,0,0.000%,0,0.000%,245,0.285%,4460,5.185%
Casserole Cookin' (539),33147,7,0.021%,45,0.136%,742,2.239%,0,0.000%,898,2.709%,0,0.000%,0,0.000%,128,0.386%,1820,5.491%
Copycat Classics (554),38644,9,0.023%,47,0.122%,1111,2.875%,0,0.000%,1443,3.734%,0,0.000%,0,0.000%,156,0.404%,2766,7.158%
Making It Work (553),22387,5,0.022%,51,0.228%,243,1.085%,0,0.000%,0,0.000%,862,3.850%,0,0.000%,22,0.098%,1183,5.284%
Work It  Mom! Special Offers (558),19848,7,0.035%,49,0.247%,235,1.184%,0,0.000%,0,0.000%,489,2.464%,0,0.000%,28,0.141%,808,4.071%
Diabetic-Friendly Dishes (574),6881,10,0.145%,0,0.000%,139,2.020%,0,0.000%,189,2.747%,0,0.000%,0,0.000%,45,0.654%,383,5.566%
The Feed by SavvyFork (583),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
Total,4852017,220,0.005%,8150,0.168%,74476,1.535%,3389,0.070%,112325,2.315%,1351,0.028%,0,0.000%,5178,0.107%,205089,4.227%
Unique Emails,,41,,3889,,33806,,1927,,63843,,858,,0,,2513,,106877,
