,List Size (2013-10-09),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),39044,0,0.000%,30,0.077%,16,0.041%,11,0.028%,0,0.000%,0,0.000%,0,0.000%,2,0.005%,59,0.151%
Fit&Fab Living Special Offers (410),56635,0,0.000%,48,0.085%,21,0.037%,43,0.076%,0,0.000%,0,0.000%,0,0.000%,2,0.004%,114,0.201%
Daily Recipes (393),1114679,4,0.000%,556,0.050%,506,0.045%,0,0.000%,251,0.023%,0,0.000%,0,0.000%,54,0.005%,1371,0.123%
Recipe4Living Special Offers (396),1098253,4,0.000%,543,0.049%,504,0.046%,0,0.000%,494,0.045%,0,0.000%,0,0.000%,34,0.003%,1579,0.144%
Budget Cooking (395),69975,0,0.000%,49,0.070%,29,0.041%,0,0.000%,12,0.017%,0,0.000%,0,0.000%,3,0.004%,93,0.133%
Quick & Easy Recipes (394),51386,0,0.000%,29,0.056%,28,0.054%,0,0.000%,8,0.016%,0,0.000%,0,0.000%,3,0.006%,68,0.132%
Diet Insider (448),23368,0,0.000%,24,0.103%,10,0.043%,7,0.030%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,41,0.175%
Crockpot Creations (511),66500,0,0.000%,45,0.068%,36,0.054%,0,0.000%,5,0.008%,0,0.000%,0,0.000%,2,0.003%,88,0.132%
Casserole Cookin' (539),25935,0,0.000%,24,0.093%,18,0.069%,0,0.000%,4,0.015%,0,0.000%,0,0.000%,2,0.008%,48,0.185%
Copycat Classics (554),32410,0,0.000%,25,0.077%,18,0.056%,0,0.000%,5,0.015%,0,0.000%,0,0.000%,3,0.009%,51,0.157%
Making It Work (553),31073,0,0.000%,25,0.080%,6,0.019%,0,0.000%,0,0.000%,10,0.032%,0,0.000%,0,0.000%,41,0.132%
Work It  Mom! Special Offers (558),30473,0,0.000%,25,0.082%,6,0.020%,0,0.000%,0,0.000%,7,0.023%,0,0.000%,1,0.003%,39,0.128%
Diabetic-Friendly Dishes - NEW! (574),10438,0,0.000%,28,0.268%,15,0.144%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,43,0.412%
The Feed by SavvyFork (583),2634,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
Total,2652803,8,0.000%,1451,0.055%,1213,0.046%,61,0.002%,779,0.029%,17,0.001%,0,0.000%,106,0.004%,3635,0.137%
Unique Emails,,4,,664,,548,,39,,496,,9,,0,,59,,1819,
