,List Size (2013-11-09),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),39267,2,0.005%,77,0.196%,45,0.115%,29,0.074%,0,0.000%,0,0.000%,0,0.000%,12,0.031%,165,0.420%
Fit&Fab Living Special Offers (410),56704,2,0.004%,121,0.213%,57,0.101%,13,0.023%,0,0.000%,0,0.000%,0,0.000%,15,0.026%,208,0.367%
Daily Recipes (393),1137523,9,0.001%,2165,0.190%,1985,0.175%,0,0.000%,1001,0.088%,0,0.000%,0,0.000%,170,0.015%,5330,0.469%
Recipe4Living Special Offers (396),1119542,10,0.001%,2139,0.191%,1970,0.176%,0,0.000%,1104,0.099%,0,0.000%,0,0.000%,165,0.015%,5388,0.481%
Budget Cooking (395),69298,0,0.000%,165,0.238%,112,0.162%,0,0.000%,30,0.043%,0,0.000%,0,0.000%,16,0.023%,323,0.466%
Quick & Easy Recipes (394),50999,0,0.000%,122,0.239%,72,0.141%,0,0.000%,12,0.024%,0,0.000%,0,0.000%,15,0.029%,221,0.433%
Diet Insider (448),23208,0,0.000%,61,0.263%,20,0.086%,13,0.056%,0,0.000%,0,0.000%,0,0.000%,6,0.026%,100,0.431%
Crockpot Creations (511),65612,0,0.000%,147,0.224%,115,0.175%,0,0.000%,35,0.053%,0,0.000%,0,0.000%,22,0.034%,319,0.486%
Casserole Cookin' (539),25679,0,0.000%,51,0.199%,50,0.195%,0,0.000%,14,0.055%,0,0.000%,0,0.000%,17,0.066%,132,0.514%
Copycat Classics (554),32037,0,0.000%,49,0.153%,51,0.159%,0,0.000%,11,0.034%,0,0.000%,0,0.000%,13,0.041%,124,0.387%
Making It Work (553),30853,0,0.000%,106,0.344%,14,0.045%,0,0.000%,0,0.000%,10,0.032%,0,0.000%,3,0.010%,133,0.431%
Work It  Mom! Special Offers (558),30297,0,0.000%,104,0.343%,14,0.046%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,4,0.013%,122,0.403%
Diabetic-Friendly Dishes (574),10340,0,0.000%,21,0.203%,24,0.232%,0,0.000%,4,0.039%,0,0.000%,0,0.000%,7,0.068%,56,0.542%
The Feed by SavvyFork (583),6417,2,0.031%,0,0.000%,12,0.187%,0,0.000%,0,0.000%,0,0.000%,1,0.016%,5,0.078%,20,0.312%
Total,2697776,25,0.001%,5328,0.197%,4541,0.168%,55,0.002%,2211,0.082%,10,0.000%,1,0.000%,470,0.017%,12641,0.469%
Unique Emails,,7,,2488,,2091,,53,,1948,,10,,1,,231,,6829,
