,List Size (2013-05-11),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),73253,0,0.000%,47,0.064%,49,0.067%,12,0.016%,0,0.000%,0,0.000%,0,0.000%,8,0.011%,116,0.158%
Fit&Fab Living Special Offers (410),112962,0,0.000%,70,0.062%,65,0.058%,52,0.046%,0,0.000%,0,0.000%,0,0.000%,15,0.013%,202,0.179%
Daily Recipes (393),1959473,13,0.001%,1244,0.063%,2280,0.116%,0,0.000%,2519,0.129%,0,0.000%,0,0.000%,351,0.018%,6407,0.327%
Recipe4Living Special Offers (396),1976512,15,0.001%,1246,0.063%,2288,0.116%,0,0.000%,2637,0.133%,0,0.000%,0,0.000%,354,0.018%,6540,0.331%
Budget Cooking (395),121191,0,0.000%,165,0.136%,163,0.134%,0,0.000%,159,0.131%,0,0.000%,0,0.000%,31,0.026%,518,0.427%
Quick & Easy Recipes (394),88221,0,0.000%,154,0.175%,90,0.102%,0,0.000%,103,0.117%,0,0.000%,0,0.000%,19,0.022%,366,0.415%
Diet Insider (448),43220,0,0.000%,39,0.090%,26,0.060%,44,0.102%,0,0.000%,0,0.000%,0,0.000%,9,0.021%,118,0.273%
Crockpot Creations (511),84133,0,0.000%,127,0.151%,166,0.197%,0,0.000%,156,0.185%,0,0.000%,0,0.000%,38,0.045%,487,0.579%
Casserole Cookin' (539),32245,0,0.000%,77,0.239%,76,0.236%,0,0.000%,67,0.208%,0,0.000%,0,0.000%,11,0.034%,231,0.716%
Copycat Classics (554),39341,0,0.000%,63,0.160%,95,0.241%,0,0.000%,83,0.211%,0,0.000%,0,0.000%,18,0.046%,259,0.658%
Making It Work (553),23085,0,0.000%,17,0.074%,14,0.061%,0,0.000%,0,0.000%,56,0.243%,0,0.000%,508,2.201%,595,2.577%
Work It  Mom! Special Offers (558),21986,0,0.000%,14,0.064%,13,0.059%,0,0.000%,0,0.000%,32,0.146%,0,0.000%,493,2.242%,552,2.511%
Diabetic-Friendly Dishes (574),9658,1,0.010%,10,0.104%,34,0.352%,0,0.000%,38,0.393%,0,0.000%,0,0.000%,7,0.072%,90,0.932%
The Feed by SavvyFork (583),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
Total,4585280,29,0.001%,3273,0.071%,5359,0.117%,108,0.002%,5762,0.126%,88,0.002%,0,0.000%,1862,0.041%,16481,0.359%
Unique Emails,,15,,1350,,2380,,66,,3365,,52,,0,,920,,8148,
