Starting:,1838208

Subscribe:,85664
2678 - Coreg-Lifescript,30975,36.159 %
2761 - Google Paid Search,21437,25.025 %
3073 - ,4963,5.794 %
2935 - ,4166,4.863 %
3110 - ,4088,4.772 %
3076 - ,4027,4.701 %
2966 - ,3984,4.651 %
2867 - R4L Chef's Pop Up,3671,4.285 %
2965 - ,3283,3.832 %
3158 - ,1654,1.931 %
2672 - ,1301,1.519 %
2674 - ,1001,1.169 %
3098 - R4L Signup DHTML,997,1.164 %
2673 - Coreg-SC-QE,993,1.159 %
2934 - R4L_ Graeters_FacebookSweepstakes,986,1.151 %
3157 - ,921,1.075 %
2963 - ,774,0.904 %
3074 - Diet Insider First-Time dHTML,752,0.878 %
2748 - FFL_PaidSearch,693,0.809 %
3077 - Fit&Fab Insider dHTML,558,0.651 %
2766 - Silver Inet E-Cookbooks ,501,0.585 %
2747 - FFL_SC_Coreg,436,0.509 %
3106 - ,372,0.434 %
2762 - R4LHalloweenDhtml,353,0.412 %
2658 - SC-R4L,335,0.391 %
3047 - ,319,0.372 %
2767 - R4L Subscription Center,299,0.349 %
3079 - ,258,0.301 %
3050 - ,202,0.236 %
3051 - ,201,0.235 %
3043 - ,133,0.155 %
2937 - ,118,0.138 %
2752 - FF Subscription Center,111,0.130 %
3072 - ,101,0.118 %
3111 - ,93,0.109 %
3107 - F&F Paid Search Dhtml,68,0.079 %
3049 - ,24,0.028 %
2660 - SC-BC,22,0.026 %
2671 - Coreg-SC_R4L,20,0.023 %
2918 - R4L Facebook Signup,18,0.021 %
3108 - ,17,0.020 %
2651 - Silver Carrot Initial Import,16,0.019 %
3109 - ,9,0.011 %
2923 - FFL_DI_SC_CoReg,8,0.009 %
2675 - ,7,0.008 %
2659 - SC-Q&E,5,0.006 %
2679 - Coreg-Arcamax-BC,4,0.005 %
3071 - ,3,0.004 %
2744 - FF Unsub Link,3,0.004 %
2962 - ,3,0.004 %
2874 - Fit&Fab Facebook Signup,2,0.002 %
3112 - ,2,0.002 %
3154 - 4thofjulycooking.com,2,0.002 %
3156 - WIM Import,2,0.002 %
3099 - ,1,0.001 %
2968 - ,1,0.001 %
2661 - SC-RSVP,1,0.001 %
2868 - CoReg-Arcamax-BC-November,1,0.001 %
2872 - FFL_FI_Lifescript CoReg,1,0.001 %
2921 - Nibbles Admin Signup,1,0.001 %
2222 - ,1,0.001 %
2750 - FFL_Lifescript_Coreg,1,0.001 %

Unsubscribe,51394
R4LUnsubLink,20374,39.643 %
BounceOut,19124,37.211 %
FeedBackLoop,10485,20.401 %
FFUnsubLink,944,1.837 %
SubCenter,745,1.450 %
admin,33,0.064 %

Ending:,1872478

Net Change:,34270
