Starting:,

Subscribe:,718
3602 - ,490,68.245 %
3481 - Blu Tonic 0813,106,14.763 %
3604 - ,32,4.457 %
2744 - FF Unsub Link,19,2.646 %
3527 - R4L Google Crock Pot 1113,10,1.393 %
3576 - QuickRewards 1113,8,1.114 %
3571 - Savvy Fork Facebook 1113,7,0.975 %
3513 - Center Point Coreg - R4L Giveaway - October,5,0.696 %
3495 - R4L Espresso Machine Giveaway,4,0.557 %
3593 - ,4,0.557 %
3515 - R4L Google Brands 1113,3,0.418 %
3521 - R4L Google Copycat 1113,3,0.418 %
3098 - R4L Signup DHTML,3,0.418 %
3542 - R4L Google Healthy 1113,2,0.279 %
2767 - R4L Subscription Center,2,0.279 %
3164 - ,2,0.279 %
3210 - ,2,0.279 %
3437 - Marketing Contests,2,0.279 %
3584 - F&F Diet Insider Search 1113,2,0.279 %
3587 - Thanksgiving 1113,2,0.279 %
3502 - SavvyFork Site Signups,2,0.279 %
3589 - R4L Google Detault,2,0.279 %
3603 - ,1,0.139 %
2675 - ,1,0.139 %
3539 - R4L Google Branding 1113,1,0.139 %
3559 - ShopAtHome,1,0.139 %
3566 - QuickRewards.net R4L Giveaway Coreg 1013,1,0.139 %
3155 - WIMFIRSTTIME,1,0.139 %
3579 - F&F Search Daily Insider 1113,1,0.139 %
3588 - FF Squeeze Default,1,0.139 %
3503 - SavvyFork Giveaway Page,1,0.139 %

Unsubscribe,39
R4LUnsubLink,28,71.795 %
FFUnsubLink,7,17.949 %
SubCenter,4,10.256 %

Ending:,679

Net Change:,679
