,List Size (2012-09-30),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),78165,7,0.009%,3311,4.236%,723,0.925%,1386,1.773%,0,0.000%,0,0.000%,0,0.000%,104,0.133%,5531,7.076%
Fit&Fab Living Special Offers (410),114516,6,0.005%,5351,4.673%,1021,0.892%,1851,1.616%,0,0.000%,0,0.000%,0,0.000%,133,0.116%,8362,7.302%
Daily Recipes (393),1892303,54,0.003%,65498,3.461%,28294,1.495%,0,0.000%,43960,2.323%,0,0.000%,0,0.000%,1938,0.102%,139744,7.385%
Recipe4Living Special Offers (396),1922677,59,0.003%,66378,3.452%,28645,1.490%,0,0.000%,51292,2.668%,0,0.000%,0,0.000%,1972,0.103%,148346,7.716%
Budget Cooking (395),106682,16,0.015%,3364,3.153%,1763,1.653%,0,0.000%,2775,2.601%,0,0.000%,0,0.000%,350,0.328%,8268,7.750%
Quick & Easy Recipes (394),90673,8,0.009%,3040,3.353%,1342,1.480%,0,0.000%,1683,1.856%,0,0.000%,0,0.000%,215,0.237%,6288,6.935%
Diet Insider (448),43150,8,0.019%,2264,5.247%,418,0.969%,1040,2.410%,0,0.000%,0,0.000%,0,0.000%,80,0.185%,3810,8.830%
Crockpot Creations (511),79907,12,0.015%,2690,3.366%,1694,2.120%,0,0.000%,2524,3.159%,0,0.000%,0,0.000%,308,0.385%,7228,9.046%
Casserole Cookin' (539),29573,12,0.041%,951,3.216%,744,2.516%,0,0.000%,955,3.229%,0,0.000%,0,0.000%,157,0.531%,2819,9.532%
Copycat Classics (554),24842,9,0.036%,759,3.055%,665,2.677%,0,0.000%,892,3.591%,0,0.000%,0,0.000%,222,0.894%,2547,10.253%
Making It Work (553),6845,10,0.146%,281,4.105%,74,1.081%,0,0.000%,0,0.000%,405,5.917%,0,0.000%,27,0.394%,797,11.644%
Work It  Mom! Special Offers (558),3183,5,0.157%,113,3.550%,25,0.785%,0,0.000%,0,0.000%,44,1.382%,0,0.000%,24,0.754%,211,6.629%
Diabetic-Friendly Dishes (574),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
The Feed by SavvyFork (583),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
Total,4392516,206,0.005%,154000,3.506%,65408,1.489%,4277,0.097%,104081,2.370%,449,0.010%,0,0.000%,5530,0.126%,333951,7.603%
Unique Emails,,71,,72692,,29870,,2442,,58400,,404,,0,,2674,,166553,
