,List Size (2013-10-09),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),39044,0,0.000%,7,0.018%,7,0.018%,4,0.010%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,18,0.046%
Fit&Fab Living Special Offers (410),56635,0,0.000%,8,0.014%,10,0.018%,24,0.042%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,42,0.074%
Daily Recipes (393),1114679,4,0.000%,158,0.014%,255,0.023%,0,0.000%,142,0.013%,0,0.000%,0,0.000%,25,0.002%,584,0.052%
Recipe4Living Special Offers (396),1098253,4,0.000%,158,0.014%,255,0.023%,0,0.000%,283,0.026%,0,0.000%,0,0.000%,14,0.001%,714,0.065%
Budget Cooking (395),69975,0,0.000%,18,0.026%,16,0.023%,0,0.000%,6,0.009%,0,0.000%,0,0.000%,1,0.001%,41,0.059%
Quick & Easy Recipes (394),51386,0,0.000%,10,0.019%,15,0.029%,0,0.000%,4,0.008%,0,0.000%,0,0.000%,2,0.004%,31,0.060%
Diet Insider (448),23368,0,0.000%,1,0.004%,4,0.017%,2,0.009%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,7,0.030%
Crockpot Creations (511),66500,0,0.000%,15,0.023%,19,0.029%,0,0.000%,4,0.006%,0,0.000%,0,0.000%,1,0.002%,39,0.059%
Casserole Cookin' (539),25935,0,0.000%,8,0.031%,10,0.039%,0,0.000%,3,0.012%,0,0.000%,0,0.000%,1,0.004%,22,0.085%
Copycat Classics (554),32410,0,0.000%,8,0.025%,9,0.028%,0,0.000%,3,0.009%,0,0.000%,0,0.000%,2,0.006%,22,0.068%
Making It Work (553),31073,0,0.000%,2,0.006%,2,0.006%,0,0.000%,0,0.000%,8,0.026%,0,0.000%,0,0.000%,12,0.039%
Work It  Mom! Special Offers (558),30473,0,0.000%,2,0.007%,2,0.007%,0,0.000%,0,0.000%,7,0.023%,0,0.000%,0,0.000%,11,0.036%
Diabetic-Friendly Dishes - NEW! (574),10438,0,0.000%,7,0.067%,8,0.077%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,15,0.144%
The Feed by SavvyFork (583),2634,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
Total,2652803,8,0.000%,402,0.015%,612,0.023%,30,0.001%,445,0.017%,15,0.001%,0,0.000%,46,0.002%,1558,0.059%
Unique Emails,,4,,177,,273,,20,,285,,8,,0,,27,,794,
