,List Size (2013-09-30),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),38777,11,0.028%,1891,4.877%,463,1.194%,127,0.328%,0,0.000%,0,0.000%,0,0.000%,161,0.415%,2653,6.842%
Fit&Fab Living Special Offers (410),56498,12,0.021%,2782,4.924%,638,1.129%,553,0.979%,0,0.000%,0,0.000%,0,0.000%,175,0.310%,4160,7.363%
Daily Recipes (393),1114037,126,0.011%,90475,8.121%,22269,1.999%,0,0.000%,28588,2.566%,0,0.000%,0,0.000%,1619,0.145%,143077,12.843%
Recipe4Living Special Offers (396),1098446,198,0.018%,88432,8.051%,22191,2.020%,0,0.000%,32617,2.969%,0,0.000%,0,0.000%,1344,0.122%,144782,13.181%
Budget Cooking (395),70224,12,0.017%,7938,11.304%,1502,2.139%,0,0.000%,1282,1.826%,0,0.000%,0,0.000%,159,0.226%,10893,15.512%
Quick & Easy Recipes (394),51521,9,0.017%,5444,10.567%,1036,2.011%,0,0.000%,873,1.694%,0,0.000%,0,0.000%,103,0.200%,7465,14.489%
Diet Insider (448),23398,5,0.021%,1278,5.462%,248,1.060%,454,1.940%,0,0.000%,0,0.000%,0,0.000%,52,0.222%,2037,8.706%
Crockpot Creations (511),66706,10,0.015%,8082,12.116%,1433,2.148%,0,0.000%,1405,2.106%,0,0.000%,0,0.000%,150,0.225%,11080,16.610%
Casserole Cookin' (539),26021,10,0.038%,3270,12.567%,664,2.552%,0,0.000%,590,2.267%,0,0.000%,0,0.000%,87,0.334%,4621,17.759%
Copycat Classics (554),32519,8,0.025%,3737,11.492%,833,2.562%,0,0.000%,862,2.651%,0,0.000%,0,0.000%,110,0.338%,5550,17.067%
Making It Work (553),31138,5,0.016%,898,2.884%,253,0.813%,0,0.000%,0,0.000%,914,2.935%,0,0.000%,26,0.083%,2096,6.731%
Work It  Mom! Special Offers (558),30510,5,0.016%,844,2.766%,253,0.829%,0,0.000%,0,0.000%,701,2.298%,0,0.000%,29,0.095%,1832,6.005%
Diabetic-Friendly Dishes (574),10486,6,0.057%,908,8.659%,322,3.071%,0,0.000%,403,3.843%,0,0.000%,0,0.000%,58,0.553%,1697,16.183%
The Feed by SavvyFork (583),1544,12,0.777%,0,0.000%,1,0.065%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,4,0.259%,17,1.101%
Total,2651825,429,0.016%,215979,8.145%,52106,1.965%,1134,0.043%,66620,2.512%,1615,0.061%,0,0.000%,4077,0.154%,341960,12.895%
Unique Emails,,172,,95741,,23311,,662,,37944,,944,,0,,2111,,160885,
