,List Size (2013-04-27),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),73362,0,0.000%,109,0.149%,39,0.053%,6,0.008%,0,0.000%,0,0.000%,0,0.000%,16,0.022%,170,0.232%
Fit&Fab Living Special Offers (410),113092,0,0.000%,145,0.128%,45,0.040%,33,0.029%,0,0.000%,0,0.000%,0,0.000%,19,0.017%,242,0.214%
Daily Recipes (393),1962322,20,0.001%,1792,0.091%,2414,0.123%,0,0.000%,3018,0.154%,0,0.000%,0,0.000%,292,0.015%,7536,0.384%
Recipe4Living Special Offers (396),1981242,30,0.002%,1837,0.093%,2432,0.123%,0,0.000%,3864,0.195%,0,0.000%,0,0.000%,288,0.015%,8451,0.427%
Budget Cooking (395),123307,2,0.002%,213,0.173%,162,0.131%,0,0.000%,155,0.126%,0,0.000%,0,0.000%,26,0.021%,558,0.453%
Quick & Easy Recipes (394),88791,0,0.000%,130,0.146%,142,0.160%,0,0.000%,94,0.106%,0,0.000%,0,0.000%,14,0.016%,380,0.428%
Diet Insider (448),43030,0,0.000%,52,0.121%,12,0.028%,39,0.091%,0,0.000%,0,0.000%,0,0.000%,11,0.026%,114,0.265%
Crockpot Creations (511),83919,1,0.001%,104,0.124%,180,0.214%,0,0.000%,170,0.203%,0,0.000%,0,0.000%,54,0.064%,509,0.607%
Casserole Cookin' (539),32321,0,0.000%,53,0.164%,68,0.210%,0,0.000%,62,0.192%,0,0.000%,0,0.000%,7,0.022%,190,0.588%
Copycat Classics (554),39129,0,0.000%,52,0.133%,119,0.304%,0,0.000%,113,0.289%,0,0.000%,0,0.000%,19,0.049%,303,0.774%
Making It Work (553),19749,1,0.005%,25,0.127%,18,0.091%,0,0.000%,0,0.000%,61,0.309%,0,0.000%,145,0.734%,250,1.266%
Work It  Mom! Special Offers (558),18576,1,0.005%,24,0.129%,17,0.092%,0,0.000%,0,0.000%,40,0.215%,0,0.000%,134,0.721%,216,1.163%
Diabetic-Friendly Dishes (574),9173,0,0.000%,0,0.000%,40,0.436%,0,0.000%,46,0.501%,0,0.000%,0,0.000%,12,0.131%,98,1.068%
The Feed by SavvyFork (583),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
Total,4588013,55,0.001%,4536,0.099%,5688,0.124%,78,0.002%,7522,0.164%,101,0.002%,0,0.000%,1037,0.023%,19017,0.414%
Unique Emails,,34,,1950,,2521,,43,,4585,,61,,0,,500,,9694,
